SDSS_NAME,PLATE,MJD,FIBERID,RA,DEC,Z_DR16Q,SN_MEDIAN_ALL,LOGMBH,LOGMBH_ERR,LOGLEDD_RATIO,LOGLEDD_RATIO_ERR,OIII5007,OIII5007_ERR,LOGLBOL,LOGLBOL_ERR,HBETA_BR,HBETA_BR_ERR,HALPHA_BR,HALPHA_BR_ERR,rms_g
153916.47+165120.6,2795,54563,512,234.818641,16.855733,0.4044,17.665180206298828,8.887724735627517,0.0305825308975287,-1.4660174499759293,0.0312253093502766,"(5010.061425145226, 5009.698896482698, 327.62144546855023, 42.27838017529813, 533.8034205236603, 25.406230114041765)","(0.3329146438786665, 0.113347822742071, 25.47136259618199, 0.0325748434898898, 17.250236654403977, 1.8336539423416447)",45.53565063795842,0.0063030744817247,"(4858.798640072534, 4871.6615004870055, 994.4812989028072, 42.760604473882815, 7024.290351680491, 69.21257044461288)","(1.693573400070818, 0.8871935512088385, 124.07168442750884, 0.0475185290059059, 246.0046276499188, 8.527557063979117)","(6548.348868945332, 6534.149862830529, 1405.0751345440046, 42.91070740138732, 3039.090679316428, 130.24946749011588)","(19.818846086575377, 29.128469228598988, 1053.6483460784982, 0.2346490199827933, 2135.7044882892, 97.63851794240074)",0.2848283038913227
153941.08+504135.2,6722,56431,158,234.92117926982968,50.69313276330533,0.478,18.836143493652344,7.898453413353281,0.0531758559625385,-0.5705739600496216,0.0532173276861355,"(5008.536858307842, 5005.986472976444, 75.73837461462874, 41.81497287843736, 662.8194619235843, 10.802768275346688)","(0.959738745382765, 0.3952535802118291, 3.470852807457497, 0.0204858674687145, 76.12787566719692, 0.5125614794218922)",45.44182280561049,0.0021005496197155,"(4868.756452295639, 4864.688723966554, 472.8716754302303, 42.61040019870308, 2373.688643245935, 58.76650528070305)","(0.5494140624750798, 0.2888145140518645, 33.45230562595273, 0.0281898941605049, 145.29116580300683, 4.076207392315677)","(6566.838243267969, 6566.835337854768, 1660.8196401466143, 43.15597936972119, 1876.3529795284885, 312.5295843745764)","(9.58898877105912, 6.280960370004323, 415.0461971453355, 0.1563188578348047, 1065.7607893970703, 78.62157775061772)",0.0
154047.81+594539.2,8426,58224,914,235.19922425806945,59.76091659782251,0.4728116393089294,12.170775413513184,8.446620028143816,0.0454756443263157,-1.2353223207782378,0.0458230415307902,"(5011.165017851417, 5005.963520656303, 134.67674598726762, 42.05361621758185, 1042.5633125486777, 24.520811962981263)","(1.6556637597514057, 0.5848046076944229, 8.608609143263166, 0.0260484526401931, 70.98206042424096, 1.5593609429119013)",45.32524105967241,0.0056317766503077,"(4867.457003508555, 4861.447000240074, 383.14318992329976, 42.50768471372095, 4771.4732764924365, 62.72564884688626)","(3.729329463584236, 0.815768978306096, 44.37330032531594, 0.052244863279963, 249.33478227057776, 7.167100094173705)","(6575.161291074465, 6568.343881831757, 1112.2902348693267, 42.9705417274478, 3672.659800405205, 278.4867904301818)","(3.1332522443344715, 0.9637277096071556, 56.66548203452726, 0.0211414940733831, 113.09349087598024, 13.81380884979282)",0.0
154227.01+294202.7,1389,53135,85,235.612555,29.70076,0.456722,19.213733673095703,8.361462902509029,0.0165918953600721,-0.5693387379758121,0.0169319044009625,"(5008.211369839139, 5007.6069762540255, 2288.3013560664126, 43.247941669695365, 441.7103307102238, 101.71924116859805)","(0.3661066043428036, 0.0457009514584569, 108.3048027034306, 0.0197569709914127, 20.78004235685333, 4.812770056011253)",45.90606751684005,0.0033761509154288,"(4857.945189476521, 4860.477310703968, 3588.3215978355547, 43.44331981082928, 3096.473151340611, 143.8731258741435)","(0.4628724148928995, 0.4188857913432002, 396.6675161436333, 0.0531041289352494, 58.84228887154609, 15.459337325943622)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.1034190981706953
154233.25+501938.3,8407,57839,137,235.6385544695489,50.32732259577973,0.4265410602092743,12.203947067260742,7.857581818177855,0.0547979806036907,-0.6521053119982412,0.0549315139450568,"(5008.96915600483, 5009.101023064519, 116.2163770549998, 41.88308156195308, 508.6826562285964, 17.012530360572175)","(0.5421364585126867, 0.5402195538645174, 24.97549212311887, 0.0885211351458181, 48.41571697589819, 3.6512449313956346)",45.31941985848645,0.0038278644246503,"(4863.5342710464665, 4863.142044726095, 289.74951440383364, 42.2798369461887, 2429.901623170528, 40.07011368827404)","(1.8688313723273493, 0.8856825540692626, 34.43318662430502, 0.0572353296207097, 153.20533154318105, 4.729498187471853)","(6565.525491107907, 6565.642202869651, 1009.3737516026752, 42.821866236268455, 2146.1142178470827, 177.89835186684502)","(0.8244583620848971, 0.6201963303424236, 30.69004572858381, 0.0131157457931685, 75.64859025474402, 5.465257114121627)",0.0
154240.38+453859.2,8507,57878,370,235.6682900010514,45.649789745782506,0.4367108643054962,14.051691055297852,8.339078402881352,0.0961708327706036,-1.1998384547466117,0.0966895375965218,"(5008.274628031659, 5007.874324191267, 248.11874901898756, 42.23677094501354, 354.4843781327465, 44.4579178013412)","(0.4276651348945961, 0.0412198740204985, 10.611982240229535, 0.0191822545740514, 13.222715333697607, 1.9057749997390443)",45.25318330044158,0.0100018800651575,"(4860.231482100042, 4862.280546810339, 392.1416450491365, 42.43555432855637, 4394.364959716837, 67.61297557624638)","(1.1608185232216783, 1.5548190949853051, 24.01258379333342, 0.0255905554944391, 485.8891686931606, 4.167169217911841)","(6564.176881607974, 6563.103270693004, 1569.8145504776494, 43.03795971237343, 2758.0977544632824, 348.19887774799435)","(0.8264706788199874, 0.3953993762638674, 32.47495562721531, 0.0090746164717536, 165.66166777344802, 7.228511294356963)",0.0
154242.16+561335.2,6791,56429,128,235.6757054425032,56.22646981439898,0.459,11.01740837097168,7.615753015269854,0.1821652939707812,-0.5112725885581142,0.1822335628232183,"(5010.953022056019, 5010.5575088470605, 35.47702605381807, 41.44352840899465, 375.12713118771165, 7.734222257215698)","(0.6266085048036985, 0.3897171694829922, 6.074252190036454, 0.0616190601548716, 103.49059645292677, 1.3676473344709086)",45.21842377901857,0.0049876940345932,"(4862.40713125729, 4862.0475908548215, 121.00068634312724, 41.97636903581766, 1949.500314342436, 24.062511733761497)","(1.6486147256978256, 1.434523401104343, 10.99399760304349, 0.0451256886647257, 408.821700854637, 2.193865498021509)","(6565.434267081641, 6566.03770607141, 369.0459689470568, 42.46066166801126, 1821.134068922787, 110.31899042937016)","(1.6296649381333737, 1.3276569680488135, 30.57984016273147, 0.0365204116532424, 309.8529959147571, 9.04459797418302)",0.0
154304.67+245356.6,3947,55332,278,235.7694898293222,24.89906914060141,0.465,10.031625747680664,7.403933820039571,0.0207686206474627,-0.400076092533105,0.021112478051201,"(5007.803977673053, 5007.638241110285, 165.8910852989505, 42.1268633186275, 383.1717128565815, 47.239692642386125)","(0.4390122571526262, 0.0953701204043682, 46.98343156510623, 0.0898557525946266, 28.68952902479066, 13.510576327946737)",45.1178010798133,0.0037948815349402,"(4861.882785101076, 4862.356211654675, 563.2784743088941, 42.65776342519873, 1618.7112562416642, 137.91838869788253)","(0.3840322230671518, 0.1715290363595158, 72.77056308613894, 0.0577276499573535, 38.54274462906437, 15.82950938038963)","(6564.206588286046, 6564.166705392098, 1362.445581034607, 43.04135943486577, 1745.361973027511, 435.5521157558927)","(4.066048425916506, 3.262509598973338, 394.1724000905279, 0.1608220700609628, 577.1657281824093, 127.3923297481787)",0.0
154304.87+352635.0,4970,56039,508,235.7703094015148,35.443079143935265,0.449,11.8856201171875,8.89100878737549,0.0811501294993907,-1.6840076693759087,0.0811615495772901,"(5006.768741280533, 5007.148269401791, 461.0676049858761, 42.534547071529104, 317.2869624896801, 73.99823287880123)","(0.4080684007744821, 0.0451728468560759, 9.433142936832922, 0.0089124730516019, 9.742699923104936, 1.513184126515121)",45.320944470306415,0.0013614742079965,"(4861.63149014104, 4867.332985914469, 570.9981653079305, 42.62741717495171, 7978.495837191336, 86.24563460771901)","(3.3382382315157884, 2.3883566024487664, 38.7822257285824, 0.0310057443419928, 745.3850055802545, 6.122358244923099)","(6565.49986754625, 6565.267415420845, 1403.2125884097582, 43.01790593430274, 6258.240295833084, 327.0865349207006)","(4.910259564845092, 1.157509363220015, 37.99104856153008, 0.0115920937266267, 361.2597266884413, 8.8358939372512)",0.0
154342.49+370751.2,4973,56042,432,235.92705397264183,37.13089645438368,0.47,13.915068626403809,8.706506840316363,0.1315102089468452,-1.2533918688424135,0.1315597574604836,"(5002.004580025717, 5002.463598799252, 32.600462716865, 41.43135734233126, 875.5859267339645, 3.3819097839558325)","(1.4895718441293866, 1.251035152356053, 6.535157166198617, 0.0871474246790562, 190.95059385627349, 0.7023882440623903)",45.56705832378079,0.0036103636684394,"(4875.515977874, 4875.307362988124, 354.7762888250672, 42.46808816445468, 5599.401198050248, 33.34438436271276)","(6.376114017257805, 6.07740426083501, 53.23727259628484, 0.0714216029462839, 847.7071150776587, 4.804420636861501)","(6600.664743732651, 6583.967046311773, 1751.6879110518742, 43.161590310810325, 6375.952841729358, 246.3354052942856)","(18.503408905896777, 2.279404827779217, 200.556121108591, 0.045471502755447, 910.5367803472972, 28.082671558749052)",0.0
154401.52-005507.7,4008,55356,138,236.00635034612404,-0.9188237390692328,0.474,17.167448043823242,8.920424953138605,0.0362723433629827,-1.4365621632728036,0.0364115699550725,"(5010.213492498681, 5010.265949486004, 77.16700102012082, 41.81436121104224, 589.238109752045, 6.945675335512576)","(0.4874167092939387, 0.2052794001438087, 26.27550006063645, 0.1129219463151507, 36.17735092382253, 2.9392131492422204)",45.59780614217264,0.0031811214297832,"(4855.364225259995, 4865.4454181041865, 522.4632998295835, 42.64498537772682, 7037.423512808936, 48.218796947429794)","(9.806543844265889, 2.032695796664939, 43.74209616604699, 0.037528775386928, 293.6006734571415, 3.9777556891668944)","(6562.0678811214175, 6563.136309138727, 2540.396083215554, 43.33183102314069, 7049.175615666467, 289.1814762745222)","(7.567714656292992, 0.9539140696574576, 148.03253268904882, 0.0249266238146788, 214.01510954488413, 16.656518365081496)",0.0
